h3,District,DS,GN,population_2020,schools,gas_stations,pharmacies,banks,supermarkets,poi_count,population_2020_score,bank_user_cx_score,beauty_cx_score,clothing_outlet_score,eat_out_seeker_cx_score,health_fitness_conscious_cx_score,insurance_cx_score,interest_in_property_cx_score,interest_in_vehicle_cx_score,interest_in_movie_cx_score,interest_in_music_cx_score,online_shopper_cx_score,overseas_travellers_cx_score,post_arpu_derived_score,prepaid_arpu_derived_score,selfcare_score,smart_phone_user_cx_score,social_media_cx_score,supermarket_cx_score,poi_count_score,cx_during_daytime_score,score,norm_score,rank
88611c8f35fffff,Gampaha,Attanagalla,Pilankada,906.7819842,1,0,0,0,0,1,0.09864639,0.040021179,0.026086957,0.008378588,0.027033792,0.017709563,0.044335977,0.034168337,0.032386764,0.025291181,0.026913876,0.032062481,0.01405766,0.283119649,0.526771873,0.030171936,0.03566695,0.035196309,0.023974101,0.028571429,0.053206587,0.961083441,0.312408481,2
88611c8cb3fffff,Gampaha,Gampaha,Welikada,2531.67809,1,0,0,0,0,1,0.275414497,0.033543042,0.017362319,0.008533747,0.019461827,0.025501771,0.037421192,0.028456914,0.026519596,0.017304493,0.020078606,0.021991573,0.012151537,0.082500514,0.453532594,0.021297837,0.027734367,0.027110979,0.022836644,0.028571429,0.053170995,0.862855677,0.280478697,2
88611c8e3dfffff,Gampaha,Mahara,Buthpitiya South,382.9277774,0,0,0,0,0,0,0.04165769,0.045502678,0.012753623,0.010861133,0.021088861,0.022432113,0.041488713,0.036072144,0.032856137,0.02828619,0.041866029,0.039872572,0.018822969,0.026930544,0.466380416,0.038602329,0.060730747,0.058447343,0.026599003,0,0.053153011,0.561567653,0.18254242,1
88611c025dfffff,Gampaha,Divulapitiya,Lihiniyagammana,492.0198313,0,0,0,0,0,0,0.053525523,0.00554379,0.007652174,0.01261443,0.008754693,0.021959858,0.0366687,0.012925852,0.027833842,0.021331115,0.038226247,0.030685438,0.013819395,0.053136379,0.369118385,0.02317249,0.002057328,0.00262659,0.011899554,0,0.053094189,0.487679842,0.158524549,1
88611c15e7fffff,Gampaha,Katana,Katana West,536.8638649,0,0,0,0,0,0,0.058403986,0.098106391,0.030434783,0.05973623,0.04436796,0.037308146,0.087044946,0.048096192,0.097629664,0.056572379,0.092959672,0.071215702,0.059328091,0.063371776,0.536798082,0.057016084,0.098158296,0.098919672,0.061510193,0,0.05307658,0.720084037,0.234069541,2
88611c0265fffff,Gampaha,Divulapitiya,Alugolla,120.8730762,0,0,0,0,0,0,0.013149459,0.027314065,0.006666667,0.007152832,0.007259074,0.022432113,0.024608501,0.012324649,0.012673081,0.025956739,0.027682843,0.021991573,0.008911127,0.108339522,0.583940222,0.01530782,0.03309529,0.03489939,0.006912241,0,0.053045483,0.712341444,0.231552745,2
88611c150bfffff,Gampaha,Divulapitiya,Kadawala,967.884897,0,0,0,0,0,0,0.105293613,0.031767784,0.024347826,0.016446858,0.012828536,0.014876033,0.032336791,0.017034068,0.02628491,0.022296173,0.040669856,0.032268009,0.018108173,0.078975387,0.599308537,0.02651137,0.044628197,0.045223032,0.01653688,0,0.053027873,0.800114417,0.260084108,2
88610225d1fffff,Kalutara,Agalawatta,Pimbura,1026.262313,2,0,0,0,0,2,0.104362786,0.023604286,0.014688602,0.008074092,0.00982699,0.010246856,0.030799052,0.013071895,0.037608486,0.023348236,0.024928367,0.024677098,0.014925373,0.047518714,0.475843002,0.019067797,0.032986327,0.03349292,0.011706981,0.060606061,0.059462222,0.700037543,0.219861029,2
88610226d7fffff,Kalutara,Agalawatta,Kalupahana,178.0017754,0,0,0,0,0,0,0.018101377,0.009667284,0.008989424,0.003087153,0.003487889,0.001723335,0.011845789,0.005119826,0.011017358,0.014058619,0.011270296,0.010290875,0.00749909,0.1128916,0.46614663,0.00968523,0.012431944,0.01319112,0.005423087,0,0.059460541,0.602562694,0.18924707,1
8861035069fffff,Kalutara,Mathugama,Aluthgamgoda,565.7047179,0,0,0,0,0,0,0.05752771,0.019254008,0.015276146,0.003324626,0.008027682,0.003493246,0.028429894,0.007625272,0.022902604,0.024788872,0.022445081,0.017116455,0.014816163,0.065927363,0.465613429,0.01200565,0.024668807,0.025069188,0.008435913,0,0.059447511,0.597504415,0.187658415,1
88611c88d9fffff,Gampaha,Attanagalla,Nagoda,259.6361412,1,0,0,0,0,1,0.028245122,0.005232341,0.018521739,0.011947246,0.033235294,0.032585596,0.0390482,0.011322645,0.037643746,0.032579035,0.005211893,0.005857569,0.046842983,0.122153728,0.553839291,0.005657238,0.007022611,0.007011854,0.027246478,0.028571429,0.052942076,0.760056048,0.247062789,2
88611c1091fffff,Gampaha,Divulapitiya,Sayakkaramulla,993.6167661,2,0,0,0,0,2,0.108092914,0.064220755,0.02,0.038013964,0.025281602,0.03459268,0.0585723,0.034068136,0.058671673,0.049251248,0.071855776,0.061350324,0.033595425,0.182841396,0.635286901,0.046921797,0.082728334,0.081835416,0.03281127,0.057142857,0.052934208,1.016175338,0.330316579,2
88611c1017fffff,Gampaha,Divulapitiya,Balagalla West,248.549618,0,0,0,0,0,0,0.027039049,0.046312445,0.012289855,0.016291699,0.015707134,0.029515939,0.035387431,0.015931864,0.035203004,0.01797005,0.041438824,0.04264721,0.017393376,0.064248584,0.499068756,0.03416528,0.057684319,0.056163351,0.019774258,0,0.052919221,0.610130648,0.198328242,1
88611c8f1bfffff,Gampaha,Mahara,Pasgammana,738.3188232,0,0,0,0,0,0,0.080319733,0.027532079,0.012347826,0.006361521,0.019399249,0.014167651,0.02826927,0.016933868,0.026754283,0.024292845,0.028879016,0.027027027,0.017393376,0.114459287,0.591590922,0.02562396,0.036042808,0.03499075,0.023449121,0,0.05282668,0.809819062,0.263238687,2
8861035217fffff,Kalutara,Mathugama,Thalgasgoda,875.4073676,0,0,0,0,0,0,0.089022027,0.032036306,0.028202115,0.006672999,0.018685121,0.004657662,0.050613827,0.011328976,0.035679846,0.023050174,0.020057307,0.016066366,0.024754277,0.067147214,0.404542088,0.011198547,0.033075,0.0304628,0.022639236,0,0.059244915,0.583350565,0.18321311,1
88611cb823fffff,Gampaha,Wattala,Kunjawatta,97.00073218,0,0,0,0,0,0,0.010552451,0.007163324,0.049014493,0.030162917,0.005944931,0.047107438,0.065507423,0.046793587,0.051560667,0.048452579,0.010509228,0.007707327,0.050250179,0.151455234,0.909942564,0.005990017,0.009752527,0.01068908,0.060460233,0,0.052788839,1.132410481,0.368099817,2
886103531bfffff,Kalutara,Mathugama,Kolehekada,499.0138429,0,0,0,0,0,0,0.050745773,0.016917748,0.008871915,0.003870815,0.008373702,0.002654867,0.017876373,0.004684096,0.019286403,0.021510184,0.022827125,0.016696419,0.017109574,0.067757139,0.465514688,0.011501211,0.021902212,0.021594651,0.009813205,0,0.059148241,0.593830805,0.186504643,1
8861022611fffff,Kalutara,Agalawatta,Diyapattugama,533.8250812,1,0,0,0,0,1,0.054285802,0.009640431,0.004641598,0.00213726,0.002262976,0.001560317,0.012276545,0.002178649,0.011330762,0.012568306,0.008022923,0.006510553,0.004768839,0.027557527,0.405332017,0.005044391,0.010835831,0.011494253,0.002918137,0.03030303,0.0591474,0.520396513,0.16344111,1
88611c82b7fffff,Gampaha,Dompe,Kahatapitiya,1294.093144,1,0,0,0,0,1,0.140780937,0.038650804,0.012753623,0.00961986,0.014205257,0.022432113,0.051250763,0.017034068,0.039662051,0.026955075,0.029733424,0.033192889,0.017393376,0.01623885,0.546701612,0.029062673,0.048287868,0.047484183,0.023011637,0.028571429,0.052701917,0.755304464,0.245518246,2
88611c8445fffff,Colombo,Kaduwela,Nawagamuwa,955.6630805,1,0,0,0,0,1,0.038121792,0.066281956,0.040261407,0.027426766,0.031372196,0.030214991,0.07060496,0.08281054,0.067407165,0.036724048,0.070507434,0.056939369,0.021363539,0.10547567,0.411242132,0.049953192,0.093819491,0.099370892,0.036062068,0.022222222,0.013692635,0.613123885,0.180929471,1
88611c81bbfffff,Gampaha,Dompe,Palupelpita,990.9130836,3,0,0,1,1,5,0.107798788,0.103151862,0.044927536,0.019239721,0.041301627,0.055489965,0.104535286,0.051102204,0.088946257,0.049584027,0.092190704,0.076662214,0.038122468,0.135126914,0.488317627,0.079423184,0.11726771,0.113194619,0.04453583,0.142857143,0.052680936,0.918636301,0.298610671,2
8861034163fffff,Kalutara,Kalutara,Moronthuduwa North,595.6177772,0,0,4,2,1,7,0.060569632,0.081285749,0.071680376,0.052244123,0.057093426,0.026082906,0.1027353,0.05664488,0.101494696,0.119225037,0.097707736,0.086422346,0.084819803,0.183157749,0.571523081,0.078188055,0.108535655,0.106680403,0.061978135,0.212121212,0.059074685,1.089349809,0.342132465,2
88611cb9ebfffff,Gampaha,Wattala,Delathura West,1595.830993,1,0,0,0,0,1,0.173606191,0.119907811,0.062028986,0.05477114,0.069899875,0.05785124,0.121822249,0.032164329,0.129077681,0.059900166,0.125,0.103175419,0.061949011,0.104483354,0.62860648,0.082750971,0.134418706,0.13448142,0.071922303,0.028571429,0.0525262,1.007189756,0.327395737,2
